"","hhid","energy_kcal","vita_rae_mcg","thia_mg","ribo_mg","niac_mg","vitb6_mg","folate_mcg","vitb12_mcg","fe_mg","zn_mg","mar","mpa","sep_quintile","res","res_quintile","adm1","survey_wgt"
"1",412001101,3174.82293715012,294.381560204932,1.42490190262157,0.964878889551543,11.2110686608345,1.29877036572097,308.726105133628,2.37163832199546,13.8986214542767,9.47758317451629,0.876855149477183,0.473666666666667,5,"Urban",5,22,5199.38
"2",412001102,4258.16498976173,474.385693521131,1.78286863745734,1.02791472890031,13.7010415014065,1.82406001012103,375.436202059522,1.46679767103348,17.5260627225549,11.0941462996818,0.9194055617714,0.574111111111111,5,"Urban",5,22,5199.38
"3",412001201,2913.1741514523,309.525059389712,1.33811049246381,0.78940267797346,11.7386824428176,1.41505657014007,294.038701462587,0.956424079065588,15.6290288613406,9.66401469894282,0.818033954179937,0.428111111111111,4,"Urban",3,22,3040.31
"4",412001202,2304.40994864265,255.112843094627,0.904406951994633,0.605536888544186,7.77600283975052,0.997236898471297,264.794531021429,1.28116067146283,10.5970767067388,6.29219034171276,0.687888471198305,0.141666666666667,5,"Urban",5,22,3040.31
"5",412001203,3013.62649574914,263.587884016937,1.15228512071538,9.51939970043728,8.99779434400406,1.12927532522361,267.32814794794,1.50463343108504,11.7835178042146,7.68067806673539,0.806218151043419,0.321555555555556,5,"Urban",4,22,3040.31
"6",412001204,2999.39683334436,267.466106936891,0.996415207915835,0.598288922391986,7.46734054020524,1.04730181100184,236.08528512283,1.52015065913371,9.99708520270561,5.99825965484432,0.692146328020856,0.133,5,"Urban",5,22,3040.31
"7",412001301,1746.97665817382,162.365037423213,0.754431290445556,0.438417581985561,6.5749838534016,0.73446452637005,169.880014550079,0.0218887908208296,8.88480089595298,5.417442400661,0.476420686070549,0.00722222222222222,3,"Urban",2,22,264.38
"8",412001302,1957.69828834478,149.550706259094,0.893279993021891,0.597855846221412,8.19153314248767,0.89053843692565,172.972433227776,1.2984140969163,8.87478078207839,6.70027312287675,0.620169359209464,0.0534444444444444,4,"Urban",3,22,264.38
"9",412011101,3133.15660791159,227.317670100022,1.41283992626681,1.00146049828565,10.7828016936263,1.38903938184532,318.445113569601,2.10301027900147,13.3387264799748,9.22407463696822,0.857146938319253,0.443888888888889,5,"Urban",5,22,885
"10",412011102,2579.89197278762,93.6528173064054,1.31725508669659,0.948206584629774,10.2511859017206,1.13063482059304,206.466941982514,1.37747378020976,12.0618927681549,9.51384907764352,0.745330586487136,0.182555555555556,5,"Urban",5,22,885
"11",412011103,2895.31145807991,147.852975035539,1.36622305394883,0.881056751907725,10.3140362188821,1.13310359006323,225.097090011385,1.33125727069351,12.5758988229082,9.46273927351762,0.760432790828319,0.198888888888889,5,"Urban",5,22,885
"12",412011104,4075.94624837239,403.317190437039,1.63414626082564,1.03512020240179,12.0033533490802,1.55292968196027,405.891839108323,1.74777183600713,16.0996240858584,11.3020100091443,0.912440194741827,0.534,5,"Urban",5,22,885
"13",412011201,2867.835174521,230.132924288632,1.29414631209735,0.859647968100841,10.0605973986447,1.2237207998527,266.195272273192,1.57042284459088,11.7868442796044,9.15127245770766,0.799493728284209,0.267777777777778,5,"Urban",4,22,383.5
"14",412011202,3048.19562602702,263.64959960292,1.39562350058313,0.93938957770416,13.4375262723566,1.48602034999293,315.003466613914,2.36775836972343,13.8989546233563,10.1046890869758,0.874645845927106,0.593777777777778,5,"Urban",5,22,383.5
"15",412011203,1696.17637038649,124.221336165083,0.962952657191246,0.582097917811222,9.03334718137521,0.875735948127677,154.938273140997,0.335372807017544,9.85587876557062,7.50887006797615,0.573303865906332,0.0882222222222222,3,"Urban",2,22,383.5
"16",412011204,2649.91067843967,203.985670478799,1.28142091636454,0.874383911371606,11.7130569953147,1.22932323267197,258.761297361629,1.98708708708709,12.5832778227446,9.33690291838692,0.833912578685676,0.371111111111111,5,"Urban",5,22,383.5
"17",412021101,3911.6994641722,225.30753714206,0.714552407265961,0.472939687340395,5.00428500861946,0.604608120338184,108.804729899709,0.842834645669291,6.95598079792158,3.66606309681113,0.45157393326586,0.00144444444444444,5,"Urban",5,22,108
"18",412021102,4002.06050555692,253.349191473538,0.734282740429005,0.449067897142192,5.37972354706817,0.768097778779002,132.981769983627,0.700367454068241,8.21981691966845,3.97517584129018,0.488560665020622,0.00277777777777778,5,"Urban",5,22,108
"19",412021201,3187.86661721116,320.408550054386,1.16160759002732,0.726453958731073,9.56948256527659,1.1380652962895,293.268479900696,1.3312187958884,11.8811682458158,8.34524234124917,0.77469702776179,0.245,5,"Urban",4,22,423
"20",412021202,2264.45013290638,197.028423922338,0.67534791876385,0.453429479279735,7.52931203426955,0.78058926048915,178.609524749232,0.469685534591195,8.28797335310338,5.53110064684863,0.516417549264146,0.000555555555555556,4,"Urban",3,22,423
"21",412021203,1962.72196811954,221.36433851454,0.990907689827155,0.632691674680089,9.14854010177115,0.991959861953048,206.79613315439,0.993915708812261,11.1419779566257,7.60715326777637,0.677836980934892,0.104222222222222,3,"Urban",2,22,423
"22",412021204,1958.58127416746,102.237699832071,0.855014578065219,0.547912839834153,7.45074919127722,0.786303289879853,152.878835425286,0.9831088664422,8.3668457478519,6.41338011219044,0.551964214520239,0.0325555555555556,4,"Urban",3,22,423
"23",412021301,1954.59166666667,235.691666666667,0.8334,0.465733333333333,8.6463,0.970466666666667,269.607166666667,0.258666666666667,11.3578333333333,6.51433333333333,0.619204388873524,0.114333333333333,2,"Urban",2,22,450
"24",412021302,1640.90399740444,104.128434547391,0.782841062149813,0.517056203461298,7.57093195698317,0.74695201022039,139.251828459247,0.823927101704879,7.34983707724914,6.05155732156878,0.514809943175204,0.0121111111111111,2,"Urban",2,22,450
"25",412031101,3503.00140674573,126.71360337781,1.21123446421234,0.752358107167655,11.8054558754688,1.11582663479706,339.621274333482,1.8750117370892,11.7189789194869,8.91802407741757,0.781183892558045,0.352555555555556,5,"Urban",4,22,180.5
"26",412031102,3283.94666666666,222.139375,2.20015833333333,1.35785,16.74175,1.7758,336.480833333333,3.41133333333333,19.8583333333333,14.4328333333333,0.926653155706727,0.756888888888889,5,"Urban",5,22,180.5
"27",412031201,2318.66361185983,97.3086343216533,1.01780323450135,0.682749326145552,11.3451212938005,1.02310062893082,153.125534591195,0.418059299191375,10.6381311769991,8.69008984725965,0.628799919333611,0.178,3,"Urban",2,22,3971
"28",412031202,1756.94663894664,91.28465003465,0.781306306306307,0.540055440055441,9.1941094941095,0.805665280665281,195.038808038808,0.704435204435204,8.14137214137214,6.90731115731116,0.566491728828797,0.0187777777777778,3,"Urban",2,22,3971
"29",412031203,1879.70301910043,62.5974276032038,0.766102895871842,0.542593961799137,8.87701786814541,0.81773875539125,122.34584103512,0.473136167590881,7.64824399260628,6.68207024029575,0.506098059594532,0.0111111111111111,3,"Urban",2,22,3971
"30",412031204,2810.83330814849,122.777476788005,1.26667242462502,0.797527707932864,12.9344730327457,1.25392133766378,181.561495708334,0.442437591776798,12.9770827407748,10.5530085726675,0.706155870687823,0.329555555555556,3,"Urban",3,22,3971
"31",412031301,2437.77567412507,76.5869191049913,0.959939759036144,0.715031554790591,11.6898164084911,1.00156339644291,140.853987378084,0.00372920252438325,8.77969018932874,8.98121055651176,0.590499926025792,0.178555555555556,2,"Urban",1,22,10739.75
"32",412031302,2022.98318042813,92.6021916411824,1.14518348623853,0.725076452599388,11.2472986748216,1.08942405708461,156.638634046891,0.312436289500509,11.9001019367992,9.39322120285423,0.646631662065664,0.202888888888889,2,"Urban",2,22,10739.75
"33",412041101,3780.92383141373,280.251707756281,1.54928104468425,1.26209613635352,11.859139384608,1.34726145251212,316.174965696563,3.71785268414482,13.1441724981299,10.4579157427856,0.903286539736954,0.600777777777778,5,"Urban",5,22,3915
"34",412041102,3488.22505703149,292.974699554977,1.6207382941219,1.24137242215204,12.7832412778606,1.6415502048144,345.364966814937,3.55852392538524,14.9666215435722,10.8445931764423,0.913440240087441,0.667222222222222,5,"Urban",5,22,3915
"35",412041201,2232.25346878657,174.550981512658,0.92585812313476,0.67373962895839,9.49206177509827,1.01698993165797,199.396986032393,1.30957415565345,9.91596705343229,7.35246402632646,0.681731592138085,0.0802222222222222,5,"Urban",4,22,2430
"36",412041202,1974.20495234207,179.526661584361,0.919351501820553,0.642919667863486,8.39941694901291,0.969027182030678,196.697699603789,1.40712643678161,9.66333261538374,6.7636988547221,0.661642660160759,0.0671111111111111,5,"Urban",4,22,2430
